Block,Timestamp,tri_usdt_oracle_new,tri_usdt_ref,tri_usdc_oracle_new,tri_usdc_ref,tri_llama_oracle_new,tri_llama_ref,tri_lsd_oracle_new,tri_lsd_ref,tri_crv_oracle_new,tri_crv_ref
18349200,1697293547,1041.1854997960202,1041.6008683059151,1042.6559044992505,1042.9700569406161,1087.013272887954,1088.6652031174383,5113.206829664626,5102.028809814686,27.149440625229253,27.154454824878297
18349420,1697296199,1041.1854997960202,1040.9001772602787,1042.403863959409,1042.2715013732077,1087.013272887954,1088.2249263331175,5109.417029394587,5095.47114461951,27.151233385811338,27.14054464872209
18349640,1697298839,1041.1854589830903,1040.9001364613791,1043.0707991566037,1042.2752125219847,1087.013272887954,1088.2249263331175,5109.417029394587,5095.47114461951,27.15163083678286,27.140586456941623
18349860,1697301479,1041.1837255950531,1042.691838104485,1044.0905161241683,1044.0564003659013,1088.8959852752248,1090.367523103021,5130.658235360673,5114.036100242005,27.224401117443424,27.171429608310937
18350080,1697304131,1041.557288739129,1042.8037005749025,1043.8812533552268,1044.0453426455294,1088.8959852752248,1089.9032191768263,5126.011206592297,5113.790526589707,27.23911132786632,27.174461146713174
18350300,1697306795,1041.557288739129,1042.3404173181975,1043.9491071064458,1043.583596207417,1088.8959852752248,1089.5350901867932,5126.011206592297,5112.701795932815,27.23861048087605,27.261715115740476
18350520,1697309483,1041.557288739129,1042.3404173181975,1043.3465845928981,1043.584039684981,1091.3010269589088,1089.4301896343388,5124.548743793943,5112.237855754691,27.248842406938017,27.26189122199651
18350740,1697312123,1041.557288739129,1042.1433367194409,1043.4085867274287,1043.3869608758162,1091.3010269589088,1089.2310696790341,5125.008501375271,5112.6376194878685,27.21864948392483,27.262558022681457
18350960,1697314763,1041.557288739129,1042.1928202941763,1043.5360587601342,1043.4348573164611,1091.3010269589088,1089.267525699098,5127.323246882089,5115.092249591145,27.21864948392483,27.267033840959982
18351180,1697317415,1041.557288739129,1041.8314102877123,1043.2079885141302,1043.0785827113275,1091.3010269589088,1088.9580040887329,5127.323246882089,5114.451225328927,27.203963885612723,27.26544676287544
18351400,1697320055,1041.5558666194192,1041.8320167736222,1043.2717381641135,1043.0792314830776,1089.0583058056395,1089.6290468771642,5136.788358416828,5117.45386275418,27.22895782601716,27.265418268476903
18351620,1697322707,1041.5558666194192,1041.5786453130056,1043.2070836602943,1042.8250132079042,1090.3267085761006,1088.639621161071,5127.271836736909,5114.910273752655,27.212009449997293,27.17510484861631
18351840,1697325359,1042.196144078111,1042.2000777181197,1043.6493597306974,1043.4462295428373,1090.3267085761006,1089.197285498043,5129.624240940923,5118.114230639036,27.212009449997293,27.181477867189674
18352060,1697328023,1042.196144078111,1042.1257597068093,1043.4783649371261,1043.3755047612806,1090.399852955493,1089.3452667198871,5129.624240940923,5115.958406608022,27.18472761297139,27.175923995962652
18352280,1697330663,1042.196144078111,1042.1257597068093,1043.1019849798013,1043.376907074098,1090.0479555174359,1089.0718150074554,5125.7679791291,5114.735076487162,27.15197659004532,27.084659574183284
18352500,1697333327,1042.544263096528,1040.7836665017087,1042.239081882761,1042.0358918494344,1090.0479555174359,1087.8759313940104,5114.835873580426,5101.885166479564,27.132201389655954,27.060341144570646
18352720,1697336003,1042.544263096528,1042.5819649308492,1043.7187208053595,1043.828812741607,1090.0479555174359,1088.6927459279343,5114.835873580426,5112.023367901421,27.107416729383207,27.086947542941715
18352940,1697338655,1042.544263096528,1042.4884031299857,1043.5359755231236,1043.7360720471445,1090.0479555174359,1089.3350648470935,5124.519195941659,5110.476855968656,27.156872763283417,27.085729749464374
18353160,1697341307,1042.544263096528,1042.4884031299857,1043.6731945748386,1043.7361334850516,1090.0479555174359,1089.360362206197,5124.875485944365,5110.589882602569,27.16329689331131,27.175448199235205
